Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,77.57,77.800003,76.730003,77.080002,77.080002,301500
2012-09-05,77.32,79.589996,76.949997,78.160004,78.160004,483500
2012-09-06,78.75,79.360001,78.099998,79.279999,79.279999,357400
2012-09-07,79.059998,79.209999,77.93,78.150002,78.150002,388200
2012-09-10,78.220001,78.660004,77.68,77.800003,77.800003,272600
2012-09-11,78.059998,79.720001,77.379997,78.900002,78.900002,663200
2012-09-12,78.860001,82.209999,78.660004,80.199997,80.199997,1048800
2012-09-13,79.940002,82.269997,79.709999,81.629997,81.629997,484900
2012-09-14,81.540001,83.410004,81.43,82.540001,82.540001,421800
2012-09-17,82.709999,82.739998,80.470001,80.739998,80.739998,389700
2012-09-18,80.199997,80.730003,79.800003,79.889999,79.889999,316900
2012-09-19,80.0,80.559998,79.169998,80.379997,80.379997,834800
2012-09-20,79.940002,80.870003,79.769997,80.279999,80.279999,242500
2012-09-21,80.970001,81.849998,78.699997,79.43,79.43,921700
2012-09-24,77.830002,78.82,75.660004,76.370003,76.370003,1288600
2012-09-25,76.860001,77.099998,75.360001,75.440002,75.440002,703200
2012-09-26,75.349998,75.470001,73.010002,74.889999,74.889999,1151500
2012-09-27,75.050003,75.889999,74.419998,75.209999,75.209999,656700
2012-09-28,75.029999,75.739998,74.07,75.059998,75.059998,623900
2012-10-01,75.339996,76.040001,74.599998,75.010002,75.010002,497800
2012-10-02,75.059998,76.760002,75.059998,75.5,75.5,752100
2012-10-03,75.849998,77.5,75.519997,76.760002,76.760002,540200
2012-10-04,77.120003,77.589996,76.209999,77.379997,77.379997,409700
2012-10-05,77.550003,77.779999,76.440002,76.529999,76.529999,421000
2012-10-08,76.290001,76.43,75.440002,76.029999,76.029999,338600
2012-10-09,76.160004,76.220001,75.790001,76.080002,76.080002,911000
2012-10-10,76.040001,76.800003,75.620003,75.980003,75.980003,337800
2012-10-11,76.25,76.860001,75.050003,76.120003,76.120003,461200
2012-10-12,75.830002,76.970001,75.57,76.129997,76.129997,285900
2012-10-15,76.099998,77.400002,76.010002,76.730003,76.730003,294200
2012-10-16,77.019997,77.230003,76.279999,76.650002,76.650002,515800
2012-10-17,76.470001,78.290001,76.470001,77.690002,77.690002,405200
2012-10-18,77.300003,78.68,76.989998,78.510002,78.510002,317300
2012-10-19,78.410004,78.580002,77.120003,78.540001,78.540001,854000
2012-10-22,78.139999,79.080002,77.610001,78.169998,78.169998,650400
2012-10-23,77.220001,79.949997,75.309998,76.190002,76.190002,1179800
2012-10-24,76.279999,77.07,75.639999,76.089996,76.089996,758000
2012-10-25,76.910004,77.620003,76.019997,76.190002,76.190002,299800
2012-10-26,75.800003,76.730003,75.419998,76.57,76.57,432000
2012-10-31,76.550003,77.809998,75.989998,77.410004,77.410004,533700
2012-11-01,77.199997,77.989998,76.809998,77.75,77.75,599300
2012-11-02,77.199997,78.169998,75.010002,75.099998,75.099998,727000
2012-11-05,73.0,73.239998,71.07,72.940002,72.940002,1861800
2012-11-06,70.010002,72.610001,70.010002,71.620003,71.620003,2566500
2012-11-07,70.849998,71.610001,69.0,69.470001,69.470001,1948800
2012-11-08,69.870003,69.959999,68.199997,68.260002,68.260002,704400
2012-11-09,68.239998,69.720001,68.0,68.720001,68.720001,512400
2012-11-12,69.269997,69.690002,68.379997,69.0,69.0,467000
2012-11-13,68.480003,69.150002,68.25,68.940002,68.940002,675100
2012-11-14,69.080002,69.110001,67.18,67.5,67.5,667300
2012-11-15,67.599998,68.580002,67.059998,68.540001,68.540001,779000
2012-11-16,68.330002,69.980003,68.199997,69.269997,69.269997,524500
2012-11-19,69.93,69.959999,68.489998,68.639999,68.639999,388500
2012-11-20,69.110001,71.669998,68.800003,70.309998,70.309998,590700
2012-11-21,69.870003,70.849998,69.589996,69.870003,69.870003,1708200
2012-11-23,70.190002,70.470001,69.699997,70.0,70.0,196900
2012-11-26,70.029999,70.339996,69.360001,70.279999,70.279999,675200
2012-11-27,70.190002,70.470001,69.860001,70.290001,70.290001,663000
2012-11-28,69.779999,70.599998,69.639999,70.290001,70.290001,567700
2012-11-29,71.099998,72.370003,70.339996,71.309998,71.309998,1667700
2012-11-30,71.029999,71.459999,70.300003,70.849998,70.849998,1827500
2012-12-03,70.849998,70.860001,70.089996,70.449997,70.449997,624600
2012-12-04,69.830002,70.93,69.599998,70.449997,70.449997,1445600
2012-12-05,70.129997,70.769997,69.610001,69.739998,69.739998,924300
2012-12-06,69.639999,70.370003,68.959999,69.599998,69.599998,700900
2012-12-07,69.779999,70.709999,69.5,70.43,70.43,923000
2012-12-10,70.470001,70.470001,69.279999,69.760002,69.760002,539400
2012-12-11,69.760002,69.989998,69.129997,69.589996,69.589996,810300
2012-12-12,69.860001,70.32,69.349998,69.610001,69.610001,669900
2012-12-13,69.730003,69.970001,68.610001,69.080002,69.080002,480000
2012-12-14,69.010002,69.620003,68.440002,68.68,68.68,330600
2012-12-17,68.889999,70.970001,68.629997,70.779999,70.779999,1088200
2012-12-18,71.029999,74.639999,70.879997,74.139999,74.139999,1568100
2012-12-19,74.349998,75.0,72.57,74.050003,74.050003,1234800
2012-12-20,73.940002,74.57,73.050003,73.209999,73.209999,1223000
2012-12-21,72.050003,73.699997,71.669998,73.43,73.43,823100
2012-12-24,73.739998,73.839996,73.059998,73.43,73.43,193900
2012-12-26,73.580002,74.620003,72.669998,73.239998,73.239998,415500
2012-12-27,73.019997,73.830002,72.459999,73.669998,73.669998,465400
2012-12-28,72.900002,74.029999,72.68,73.580002,73.580002,443400
2012-12-31,73.919998,76.690002,73.18,76.239998,76.239998,758300
2013-01-02,77.5,78.669998,77.029999,78.099998,78.099998,872600
2013-01-03,78.0,78.959999,77.370003,77.980003,77.980003,558500
2013-01-04,78.309998,78.309998,77.360001,77.599998,77.599998,702800
2013-01-07,77.18,77.669998,76.730003,77.400002,77.400002,562200
2013-01-08,77.540001,77.57,76.279999,77.199997,77.199997,482300
2013-01-09,77.5,78.75,77.330002,78.599998,78.599998,872100
2013-01-10,79.029999,79.199997,78.449997,79.0,79.0,953400
2013-01-11,79.0,79.019997,78.089996,78.389999,78.389999,572100
2013-01-14,78.279999,78.800003,77.739998,78.18,78.18,423900
2013-01-15,77.730003,78.709999,77.68,78.32,78.32,282600
2013-01-16,78.279999,78.480003,77.940002,78.339996,78.339996,247800
2013-01-17,78.559998,79.099998,78.489998,78.949997,78.949997,907600
2013-01-18,78.889999,79.050003,78.459999,78.830002,78.830002,566200
2013-01-22,79.150002,79.150002,78.489998,78.82,78.82,395900
2013-01-23,78.419998,79.139999,78.419998,78.949997,78.949997,428300
2013-01-24,79.099998,79.779999,78.839996,79.220001,79.220001,753200
2013-01-25,79.610001,80.75,79.150002,80.68,80.68,928500
2013-01-28,80.660004,82.82,80.480003,82.239998,82.239998,1038100
2013-01-29,82.07,82.239998,81.089996,81.5,81.5,561400
2013-01-30,81.459999,82.199997,81.050003,81.629997,81.629997,587300
2013-01-31,81.440002,81.940002,77.970001,77.970001,77.970001,2691200
2013-02-01,78.059998,78.779999,76.779999,78.040001,78.040001,1907800
2013-02-04,77.580002,78.389999,76.589996,76.669998,76.669998,626900
2013-02-05,77.260002,83.550003,77.260002,81.529999,81.529999,2305500
2013-02-06,78.07,82.150002,78.07,81.050003,81.050003,970100
