Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,52.349998,52.669998,52.150002,52.509998,43.554558,1872400
2012-09-05,52.619999,52.810001,52.400002,52.5,43.546257,1524000
2012-09-06,52.669998,53.799999,52.580002,53.77,44.599663,2460800
2012-09-07,53.720001,53.849998,53.119999,53.16,44.093704,2011800
2012-09-10,53.419998,53.5,53.200001,53.279999,44.19323,1242700
2012-09-11,53.279999,53.389999,52.939999,52.939999,43.911221,1253700
2012-09-12,53.07,53.119999,52.68,52.759998,43.761909,1409300
2012-09-13,52.709999,53.599998,52.709999,53.59,44.450363,1852400
2012-09-14,53.560001,53.630001,52.689999,52.82,43.811687,2169700
2012-09-17,52.849998,53.029999,52.439999,52.610001,43.637501,1566700
2012-09-18,52.580002,52.689999,52.169998,52.25,43.338898,1532900
2012-09-19,52.450001,52.77,52.200001,52.360001,43.430138,1453700
2012-09-20,52.540001,52.849998,52.209999,52.720001,43.728741,1715600
2012-09-21,52.84,52.98,52.529999,52.700001,43.712151,2667600
2012-09-24,52.68,53.200001,52.610001,53.110001,44.052219,1300400
2012-09-25,53.27,53.459999,52.650002,52.650002,43.670689,2156800
2012-09-26,52.810001,53.540001,52.790001,52.889999,43.869755,2075900
2012-09-27,53.07,53.119999,52.68,52.810001,43.803394,2061300
2012-09-28,52.779999,53.139999,52.57,52.939999,43.911221,2392300
2012-10-01,53.130001,53.389999,52.740002,52.810001,43.803394,1548000
2012-10-02,52.91,53.25,52.790001,53.23,44.151752,1439700
2012-10-03,53.400002,53.650002,53.32,53.330002,44.234703,1627400
2012-10-04,53.560001,53.889999,53.369999,53.380001,44.276173,1912000
2012-10-05,53.59,53.790001,53.220001,53.259998,44.176643,2764200
2012-10-08,53.23,53.490002,52.709999,53.029999,43.98587,2309500
2012-10-09,53.009998,53.189999,52.68,52.82,43.811687,1997200
2012-10-10,53.060001,53.380001,52.939999,53.220001,44.143467,2261100
2012-10-11,53.43,53.450001,52.91,53.029999,43.98587,1328000
2012-10-12,53.16,53.25,52.599998,52.68,43.69556,1558100
2012-10-15,52.66,52.830002,52.41,52.759998,43.761909,1346300
2012-10-16,52.959999,52.98,52.439999,52.66,43.67897,1504700
2012-10-17,52.799999,53.380001,52.720001,53.349998,44.251293,1432600
2012-10-18,53.32,53.639999,53.119999,53.580002,44.442074,1630300
2012-10-19,53.529999,53.700001,53.34,53.509998,44.384007,2206600
2012-10-22,53.41,53.57,52.650002,52.959999,43.927799,1688000
2012-10-23,52.599998,52.959999,52.439999,52.689999,43.703857,1909500
2012-10-24,52.669998,52.799999,52.299999,52.450001,43.504791,1700200
2012-10-25,52.360001,52.360001,51.02,51.950001,43.090061,4925200
2012-10-26,51.900002,52.169998,51.5,52.07,43.189602,2752100
2012-10-31,52.330002,52.849998,52.0,52.779999,43.778511,2744600
2012-11-01,52.880001,52.91,51.950001,52.02,43.148117,3493800
2012-11-02,52.34,52.34,51.599998,51.700001,42.882702,2311700
2012-11-05,51.459999,51.529999,50.66,50.93,42.244011,1990100
2012-11-06,50.93,51.220001,50.75,50.970001,42.277203,1626400
2012-11-07,50.68,50.75,49.529999,49.860001,41.35651,2457800
2012-11-08,49.799999,50.5,49.43,49.43,40.999836,2502200
2012-11-09,49.23,49.560001,49.029999,49.330002,40.916908,2232400
2012-11-12,49.299999,49.389999,48.970001,49.189999,40.800774,2088500
2012-11-13,49.049999,50.360001,48.939999,50.209999,41.646812,4078000
2012-11-14,50.220001,50.43,49.799999,49.889999,41.381397,2832900
2012-11-15,49.860001,50.169998,49.290001,49.68,41.207203,2417900
2012-11-16,49.740002,50.240002,49.5,50.150002,41.597046,2409800
2012-11-19,50.459999,50.459999,49.919998,50.279999,41.704872,2497300
2012-11-20,50.279999,50.360001,49.75,50.34,41.754642,2031700
2012-11-21,50.349998,50.490002,49.639999,50.16,41.605331,2003800
2012-11-23,50.220001,50.290001,49.799999,50.119999,41.572159,1053900
2012-11-26,50.02,50.889999,49.950001,50.650002,42.011772,1798300
2012-11-27,50.59,51.0,50.5,50.540001,41.920528,2800500
2012-11-28,50.060001,50.459999,49.849998,50.43,42.270061,2865900
2012-11-29,50.540001,50.849998,50.369999,50.669998,42.471222,2296900
2012-11-30,50.740002,51.110001,50.580002,51.110001,42.840031,2853500
2012-12-03,51.16,51.16,50.540001,50.75,42.538269,2372600
2012-12-04,50.75,50.810001,50.360001,50.400002,42.244907,1729500
2012-12-05,50.48,51.880001,50.43,51.73,43.359707,3365300
2012-12-06,51.799999,52.049999,51.349998,51.540001,43.200455,2036100
2012-12-07,51.810001,51.98,51.450001,51.689999,43.32618,1713800
2012-12-10,51.630001,51.799999,51.509998,51.59,43.242359,1338700
2012-12-11,51.630001,51.869999,51.439999,51.599998,43.250736,1616500
2012-12-12,51.740002,51.849998,51.439999,51.560001,43.217216,1969300
2012-12-13,51.490002,51.619999,51.16,51.34,43.032822,1196500
2012-12-14,51.299999,51.369999,50.959999,51.189999,42.907085,1609400
2012-12-17,51.330002,52.040001,51.259998,51.959999,43.552494,1931900
2012-12-18,51.880001,52.299999,51.759998,52.23,43.778801,2197400
2012-12-19,52.169998,52.220001,51.75,51.799999,43.418381,2017000
2012-12-20,52.189999,52.400002,51.919998,52.200001,43.753654,2170700
2012-12-21,52.02,52.299999,51.77,51.939999,43.535728,4139800
2012-12-24,51.849998,52.029999,51.5,51.939999,43.535728,953900
2012-12-26,52.0,52.07,51.639999,51.709999,43.342941,1828800
2012-12-27,51.66,51.84,51.209999,51.619999,43.267509,2493400
2012-12-28,51.389999,51.740002,51.060001,51.080002,42.814896,1696300
2012-12-31,50.93,51.869999,50.75,51.799999,43.418381,2152700
2013-01-02,52.360001,52.959999,52.360001,52.919998,44.357151,2330900
2013-01-03,52.860001,53.169998,52.630001,52.98,44.407448,1540700
2013-01-04,53.0,53.98,52.970001,53.540001,44.876835,2881100
2013-01-07,53.189999,53.220001,52.549999,52.66,44.139233,2076600
2013-01-08,52.5,52.84,52.189999,52.369999,43.896149,1911500
2013-01-09,52.349998,52.389999,51.919998,52.200001,43.753654,1643900
2013-01-10,52.32,52.380001,52.049999,52.220001,43.770428,2484000
2013-01-11,52.209999,52.43,52.16,52.43,43.946438,2290900
2013-01-14,52.450001,52.540001,52.25,52.389999,43.91291,1237300
2013-01-15,52.310001,52.540001,52.130001,52.529999,44.030254,1840000
2013-01-16,52.540001,52.650002,52.259998,52.400002,43.921295,2380200
2013-01-17,52.549999,52.709999,52.330002,52.41,43.929668,1538800
2013-01-18,52.470001,52.919998,52.349998,52.919998,44.357151,2425700
2013-01-22,52.849998,53.380001,52.650002,53.290001,44.66729,1481500
2013-01-23,53.119999,53.48,52.900002,53.360001,44.72596,2047600
2013-01-24,53.48,53.889999,53.419998,53.790001,45.086388,1418200
2013-01-25,53.860001,54.09,53.400002,53.880001,45.161823,1674500
2013-01-28,53.939999,53.990002,53.57,53.75,45.05286,1332300
2013-01-29,53.75,54.360001,53.75,54.360001,45.564163,2273500
2013-01-30,54.299999,54.540001,54.060001,54.52,45.698269,2083500
2013-01-31,54.400002,54.5,53.869999,54.110001,45.35461,3246600
2013-02-01,54.32,54.43,54.040001,54.169998,45.404892,1791400
2013-02-04,54.009998,54.150002,53.970001,54.07,45.321079,1770300
2013-02-05,54.310001,54.709999,54.240002,54.310001,45.522247,1561200
2013-02-06,54.110001,54.41,53.900002,54.349998,45.555771,1536300
2013-02-07,54.419998,54.630001,54.080002,54.310001,45.522247,1484900
2013-02-08,54.169998,54.360001,54.0,54.310001,45.522247,1265700
2013-02-11,54.25,54.41,54.209999,54.330002,45.539013,951100
2013-02-12,54.240002,54.630001,54.16,54.630001,45.790466,1564900
2013-02-13,54.619999,54.799999,54.560001,54.689999,45.840755,1481500
2013-02-14,54.57,54.709999,54.16,54.470001,45.656361,2418700
2013-02-15,54.650002,55.0,54.630001,54.919998,46.033539,3188200
2013-02-19,55.02,55.669998,54.98,55.59,46.595131,2812700
2013-02-20,55.57,56.380001,55.540001,55.889999,46.846584,2417000
2013-02-21,55.810001,55.919998,55.619999,55.700001,46.687332,1973500
2013-02-22,55.790001,56.389999,55.700001,56.380001,47.257305,1356400
2013-02-25,56.75,57.189999,55.68,55.709999,46.695713,3328200
2013-02-26,55.27,55.900002,55.0,55.279999,46.808334,2497200
2013-02-27,55.400002,55.900002,55.279999,55.810001,47.257114,1812800
2013-02-28,55.849998,56.27,55.639999,56.0,47.417999,2527200
2013-03-01,55.830002,56.439999,55.5,56.419998,47.773621,2239700
2013-03-04,56.380001,56.57,56.029999,56.41,47.765156,3792700
2013-03-05,56.68,56.880001,56.41,56.509998,47.849831,2731700
2013-03-06,56.639999,56.779999,56.23,56.459999,47.807491,1718100
2013-03-07,56.5,56.610001,55.849998,55.869999,47.307915,2064500
2013-03-08,55.889999,55.970001,55.450001,55.869999,47.307915,2671700
2013-03-11,55.900002,56.299999,55.869999,56.299999,47.67202,1681400
2013-03-12,56.299999,56.299999,55.799999,56.02,47.434929,1154100
2013-03-13,56.0,56.5,55.830002,56.34,47.705894,1922500
2013-03-14,56.400002,56.5,56.209999,56.349998,47.714363,2076200
2013-03-15,56.119999,57.060001,55.919998,56.790001,48.086929,4006900
2013-03-18,56.360001,56.66,56.310001,56.43,47.782097,1380500
2013-03-19,56.490002,56.869999,56.389999,56.740002,48.044586,1683800
2013-03-20,56.93,57.310001,56.93,57.200001,48.434097,2168700
2013-03-21,57.0,57.490002,56.84,56.919998,48.196999,2032500
2013-03-22,56.900002,57.040001,56.66,56.77,48.069996,1901400
2013-03-25,57.0,57.130001,56.540001,56.860001,48.146198,2199100
2013-03-26,56.959999,57.75,56.889999,57.59,48.764332,1960700
2013-03-27,57.439999,57.700001,57.279999,57.529999,48.713524,1423000
2013-03-28,57.580002,58.25,57.540001,58.18,49.263912,1832300
2013-04-01,58.169998,58.279999,57.939999,58.189999,49.272377,1124300
2013-04-02,58.32,58.689999,58.25,58.619999,49.636486,1525500
2013-04-03,58.799999,58.98,58.599998,58.75,49.746559,2210500
2013-04-04,58.830002,59.57,58.830002,59.490002,50.37315,2275900
2013-04-05,59.150002,59.669998,59.110001,59.630001,50.491688,2656500
2013-04-08,59.599998,60.080002,59.330002,60.07,50.864262,1257600
2013-04-09,60.759998,60.790001,59.810001,59.849998,50.677979,1891600
2013-04-10,59.860001,60.52,59.860001,60.169998,50.94894,2514100
2013-04-11,60.240002,60.459999,59.990002,59.990002,50.796524,2910300
2013-04-12,59.970001,60.209999,59.889999,60.119999,50.906593,3001600
2013-04-15,60.0,60.349998,59.27,59.27,50.186863,1915200
2013-04-16,59.419998,59.849998,58.759998,59.82,50.652576,1535100
2013-04-17,59.610001,59.669998,59.02,59.330002,50.237667,1723200
2013-04-18,59.459999,59.900002,59.209999,59.799999,50.635651,1889200
2013-04-19,59.900002,61.09,59.709999,61.07,51.71101,2953200
2013-04-22,61.040001,61.23,60.66,60.959999,51.617878,1628500
2013-04-23,61.09,61.209999,60.490002,61.009998,51.660206,1271800
2013-04-24,61.130001,61.360001,60.630001,61.119999,51.753353,1320200
2013-04-25,61.009998,61.099998,60.310001,60.75,51.440056,2704200
2013-04-26,60.720001,61.57,60.529999,61.009998,51.660206,1641700
2013-04-29,60.560001,61.419998,60.240002,61.209999,51.829559,1672400
2013-04-30,61.099998,61.720001,61.0,61.68,52.227539,2092200
2013-05-01,61.759998,61.849998,61.009998,61.139999,51.770298,1476600
2013-05-02,61.150002,61.369999,60.790001,61.110001,51.744884,1681800
2013-05-03,61.360001,61.5,60.650002,60.91,51.575535,2238200
2013-05-06,61.060001,61.150002,60.439999,60.470001,51.202961,1674800
2013-05-07,60.450001,60.98,60.360001,60.93,51.592464,1788600
2013-05-08,60.759998,61.0,60.34,60.5,51.228374,1446500
2013-05-09,60.57,60.73,59.220001,59.450001,50.339279,2806000
2013-05-10,59.439999,59.790001,59.220001,59.75,50.593304,1724900
2013-05-13,59.599998,59.939999,59.23,59.689999,50.542496,1711400
2013-05-14,59.77,60.59,59.709999,60.459999,51.194492,2328700
2013-05-15,60.259998,61.0,60.110001,60.66,51.363853,2092000
2013-05-16,60.560001,60.779999,60.279999,60.380001,51.126762,1650500
2013-05-17,60.529999,61.220001,60.490002,61.169998,51.795681,2057700
2013-05-20,61.150002,61.200001,60.529999,60.75,51.440056,1371900
2013-05-21,60.740002,61.080002,60.380001,60.689999,51.389252,1587900
2013-05-22,60.560001,60.619999,59.009998,59.259998,50.178394,3058200
2013-05-23,58.630001,59.259998,57.57,58.950001,49.915901,7343600
2013-05-24,58.73,58.759998,57.439999,57.619999,48.789722,7056700
2013-05-28,57.630001,58.349998,57.59,57.73,48.882874,7417900
2013-05-29,57.360001,57.689999,56.57,57.07,48.32402,2501700
2013-05-30,57.240002,57.889999,57.009998,57.09,48.340946,2232100
2013-05-31,56.970001,57.799999,56.549999,56.549999,47.883705,3128100
