Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,72.120003,72.339996,70.720001,71.419998,63.721481,7177300
2012-09-05,71.32,72.099998,70.669998,71.25,63.569809,6499000
2012-09-06,71.870003,73.629997,71.860001,72.459999,64.649391,8041100
2012-09-07,72.68,73.650002,72.580002,73.169998,65.282852,5466500
2012-09-10,73.050003,73.800003,72.68,72.690002,64.854591,4900100
2012-09-11,72.809998,73.709999,72.610001,73.660004,65.720039,5165400
2012-09-12,74.360001,74.730003,74.050003,74.32,66.308891,5425900
2012-09-13,74.510002,75.959999,74.239998,75.669998,67.513359,6425700
2012-09-14,77.779999,78.470001,77.25,77.599998,69.235329,8624900
2012-09-17,77.290001,78.269997,76.809998,77.139999,68.824928,6258900
2012-09-18,76.860001,76.870003,75.309998,76.230003,68.013023,7164100
2012-09-19,76.129997,76.300003,74.300003,74.709999,66.65683,6214100
2012-09-20,74.32,75.290001,73.75,75.230003,67.120811,6961900
2012-09-21,75.949997,76.0,74.5,75.019997,66.933426,8943900
2012-09-24,74.019997,74.800003,74.0,74.260002,66.255363,4747000
2012-09-25,74.559998,74.559998,72.589996,72.690002,64.854591,9193500
2012-09-26,72.339996,72.580002,71.709999,72.050003,64.283592,5103700
2012-09-27,72.489998,73.529999,72.019997,73.239998,65.345306,6131800
2012-09-28,73.32,73.32,71.989998,72.330002,64.533409,5769000
2012-10-01,72.989998,73.68,72.360001,72.580002,64.756447,4289600
2012-10-02,72.889999,73.199997,71.919998,72.260002,64.470955,4760400
2012-10-03,72.25,72.529999,70.720001,71.190002,63.51627,5846400
2012-10-04,71.660004,71.959999,71.209999,71.669998,63.944527,5121200
2012-10-05,72.400002,72.589996,71.279999,71.489998,63.783943,5798700
2012-10-08,70.93,71.75,70.699997,71.610001,63.891014,3478800
2012-10-09,71.610001,72.419998,71.57,71.730003,63.998089,3933000
2012-10-10,71.660004,71.75,70.870003,71.080002,63.418137,4344000
2012-10-11,72.220001,72.839996,72.0,72.419998,64.613701,4523900
2012-10-12,72.75,72.910004,71.660004,72.190002,64.408485,3598500
2012-10-15,72.209999,73.010002,71.529999,72.760002,64.917053,4638200
2012-10-16,73.190002,74.0,73.150002,73.519997,65.595116,5731100
2012-10-17,73.529999,74.760002,73.050003,74.550003,66.514099,5799300
2012-10-18,74.550003,75.089996,74.050003,74.800003,66.737144,6578200
2012-10-19,75.470001,75.699997,73.75,74.0,66.023384,8325600
2012-10-22,73.629997,74.199997,72.25,73.160004,65.273918,5340400
2012-10-23,71.919998,71.959999,70.980003,71.260002,63.578747,6442400
2012-10-24,71.669998,71.790001,69.75,70.089996,62.534832,6442700
