Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,54.400002,54.68,54.0,54.560001,50.293068,4233900
2012-09-05,54.740002,54.93,54.18,54.279999,50.034962,4166100
2012-09-06,54.549999,54.990002,54.5,54.889999,50.59726,3741600
2012-09-07,54.970001,55.259998,54.700001,54.880001,50.588051,3732700
2012-09-10,55.009998,55.009998,53.540001,53.740002,49.537201,5447700
2012-09-11,53.709999,53.93,52.689999,52.799999,48.670708,6575400
2012-09-12,52.68,53.32,52.68,52.82,48.886356,4834000
2012-09-13,52.639999,53.970001,52.580002,53.889999,49.876675,6316500
2012-09-14,54.700001,55.27,53.77,54.25,50.209866,15735800
2012-09-17,54.59,54.639999,54.009998,54.48,50.422733,5481600
2012-09-18,54.330002,55.43,54.299999,55.130001,51.024334,6600300
2012-09-19,55.060001,55.32,54.73,54.950001,50.857735,6195400
2012-09-20,54.689999,54.970001,54.41,54.939999,50.84848,5776100
2012-09-21,55.09,56.220001,54.91,56.18,51.996136,26628600
2012-09-24,56.080002,56.639999,55.849998,55.98,51.811024,6443800
2012-09-25,56.220001,56.5,55.84,56.200001,52.014641,6343300
2012-09-26,56.34,56.75,55.75,55.779999,51.625919,5562000
2012-09-27,56.290001,56.439999,55.700001,56.240002,52.051655,4245400
2012-09-28,55.950001,55.98,55.18,55.41,51.283485,5838100
2012-10-01,55.720001,56.560001,55.52,56.459999,52.255283,4424400
2012-10-02,56.459999,56.889999,56.310001,56.799999,52.569958,3828700
2012-10-03,56.98,57.150002,56.630001,56.860001,52.625492,4662900
2012-10-04,57.150002,58.150002,57.009998,57.970001,53.652832,6897300
2012-10-05,58.099998,58.150002,56.84,57.130001,52.875389,6078300
2012-10-08,57.59,58.290001,57.32,57.599998,53.310387,6050700
2012-10-09,57.599998,57.84,57.099998,57.470001,53.190063,5093300
2012-10-10,57.419998,57.759998,56.93,57.110001,52.856869,4141500
2012-10-11,57.540001,58.18,57.330002,57.66,53.36591,5035900
2012-10-12,57.75,57.75,56.919998,57.07,52.819847,4283900
2012-10-15,57.139999,57.790001,56.919998,57.490002,53.20858,4193300
2012-10-16,57.189999,57.849998,56.259998,56.880001,52.644005,7531600
2012-10-17,57.580002,57.700001,55.650002,55.990002,51.82029,6255200
2012-10-18,55.799999,56.43,55.759998,56.009998,51.838799,5384500
2012-10-19,56.009998,56.09,55.369999,55.66,51.514854,5704800
2012-10-22,55.52,56.630001,55.450001,56.540001,52.329315,5723600
2012-10-23,56.080002,56.32,55.349998,56.18,51.996136,5557400
2012-10-24,56.439999,56.669998,55.77,55.919998,51.755489,4545000
2012-10-25,55.939999,56.720001,55.799999,56.209999,52.023899,4701900
2012-10-26,56.139999,56.259998,55.34,55.779999,51.625919,3346700
2012-10-31,56.139999,56.16,55.509998,56.0,51.829544,4157700
2012-11-01,55.860001,57.09,55.860001,56.950001,52.70879,4833700
2012-11-02,57.02,57.240002,55.990002,56.049999,51.875805,4948200
2012-11-05,56.259998,56.400002,54.830002,55.279999,51.163158,6149600
2012-11-06,55.279999,56.490002,54.650002,56.389999,52.190491,4880800
2012-11-07,55.380001,55.400002,53.389999,54.259998,50.21912,13812600
2012-11-08,54.349998,54.98,53.419998,53.439999,49.460186,8846100
2012-11-09,53.360001,54.0,52.639999,52.900002,48.960403,8585800
2012-11-12,53.040001,53.509998,52.049999,52.200001,48.312531,5944000
2012-11-13,52.040001,52.98,52.0,52.189999,48.303276,5669900
2012-11-14,52.389999,52.43,51.099998,51.25,47.433285,5792500
2012-11-15,51.27,51.720001,51.09,51.25,47.433285,6668600
2012-11-16,51.25,52.189999,51.139999,51.900002,48.034878,6388000
2012-11-19,52.23,52.91,51.849998,52.91,48.969658,5868900
2012-11-20,52.919998,53.18,52.66,53.139999,49.182529,4737800
2012-11-21,53.200001,53.700001,52.82,53.529999,49.543476,5097000
2012-11-23,53.669998,53.93,53.5,53.919998,49.904438,1709300
2012-11-26,52.990002,53.610001,52.759998,53.529999,49.543476,5692900
2012-11-27,53.130001,53.830002,52.549999,52.59,48.673485,7859400
2012-11-28,52.27,53.240002,52.240002,52.75,48.821575,5744200
2012-11-29,53.259998,54.59,53.0,54.360001,50.311665,10911600
2012-11-30,54.18,54.880001,54.07,54.389999,50.339439,7818600
2012-12-03,54.560001,54.950001,53.830002,53.889999,49.876675,3861300
2012-12-04,53.959999,54.240002,53.52,53.540001,49.552738,5948900
2012-12-05,53.73,54.23,53.610001,53.84,49.830399,4495100
2012-12-06,53.900002,53.900002,53.279999,53.650002,49.654549,3771900
2012-12-07,53.799999,53.900002,53.389999,53.869999,50.056896,4206200
2012-12-10,53.869999,54.330002,53.740002,54.189999,50.354244,4113500
2012-12-11,54.25,54.98,54.080002,54.759998,50.883896,4970400
2012-12-12,55.0,55.82,54.900002,55.25,51.339214,7054000
2012-12-13,55.220001,55.389999,54.310001,54.380001,50.5308,4911800
2012-12-14,54.169998,54.529999,53.919998,54.049999,50.224163,3468700
2012-12-17,54.080002,54.549999,53.98,54.360001,50.512215,6336900
2012-12-18,54.619999,55.34,54.470001,54.950001,51.060452,4637800
2012-12-19,55.119999,55.119999,54.43,54.490002,50.633011,5537600
2012-12-20,54.48,55.509998,54.450001,55.459999,51.534348,5025900
2012-12-21,55.380001,55.52,54.43,55.029999,51.134796,9440100
2012-12-24,54.799999,55.049999,54.529999,54.849998,50.967529,1713900
2012-12-26,54.799999,54.849998,54.119999,54.220001,50.382122,3232400
2012-12-27,54.119999,54.59,53.950001,54.439999,50.586552,3245700
2012-12-28,54.09,54.639999,53.799999,53.860001,50.047615,3137400
2012-12-31,53.630001,54.259998,53.490002,54.240002,50.400711,4948700
2013-01-02,54.880001,55.0,54.009998,54.540001,50.679482,5358100
2013-01-03,53.439999,53.52,51.849998,51.990002,48.309971,14413200
2013-01-04,52.200001,52.73,52.060001,52.09,48.402897,10458000
2013-01-07,51.880001,52.330002,51.549999,52.09,48.402897,7804500
2013-01-08,52.0,52.240002,51.360001,51.400002,47.761738,8196200
2013-01-09,51.59,52.5,51.5,52.369999,48.663086,5154300
2013-01-10,52.52,53.189999,52.330002,53.110001,49.3507,6506500
2013-01-11,53.400002,53.400002,52.330002,52.82,49.081223,10182500
2013-01-14,52.869999,54.419998,52.599998,53.360001,49.583,7119900
2013-01-15,53.220001,53.849998,53.209999,53.619999,49.824596,5802900
2013-01-16,53.639999,53.799999,53.34,53.66,49.861767,6474500
2013-01-17,53.759998,54.529999,53.169998,54.400002,50.549381,14438900
2013-01-18,54.400002,54.630001,54.220001,54.560001,50.698063,7023900
2013-01-22,54.650002,56.09,54.560001,56.02,52.054722,9330000
2013-01-23,56.110001,56.25,55.450001,55.91,51.952499,6665700
2013-01-24,56.029999,56.439999,55.900002,56.220001,52.240555,4221700
2013-01-25,56.360001,56.380001,55.720001,56.040001,52.073303,5604700
2013-01-28,56.419998,56.529999,55.799999,55.810001,51.859577,5736900
2013-01-29,55.75,56.689999,55.68,56.279999,52.296314,7317600
2013-01-30,56.25,56.439999,55.919998,56.080002,52.110474,6269200
2013-01-31,55.84,56.040001,55.209999,55.209999,51.302048,6957500
2013-02-01,55.740002,55.84,55.369999,55.77,51.822407,6369500
2013-02-04,55.32,56.369999,55.32,55.75,51.803833,4795700
2013-02-05,57.07,57.830002,56.830002,57.77,53.680843,8645500
2013-02-06,57.439999,57.540001,57.099998,57.380001,53.318451,5266100
2013-02-07,57.360001,57.5,56.650002,57.049999,53.011806,6050700
2013-02-08,57.16,58.259998,57.119999,57.740002,53.652969,4554600
2013-02-11,57.560001,57.709999,57.049999,57.119999,53.076851,4166800
2013-02-12,57.200001,57.380001,56.93,57.009998,52.974644,4448600
2013-02-13,57.009998,57.369999,56.75,57.23,53.17907,4261200
2013-02-14,57.009998,57.220001,56.75,57.049999,53.011806,5173800
2013-02-15,57.060001,57.490002,57.040001,57.32,53.262695,5750400
2013-02-19,54.200001,56.880001,54.040001,56.66,52.649418,14566200
2013-02-20,56.509998,56.580002,55.189999,55.209999,51.302048,7542900
2013-02-21,55.57,55.939999,54.880001,55.240002,51.329922,6357300
2013-02-22,55.400002,55.41,54.25,54.470001,50.614429,8400700
2013-02-25,54.689999,54.75,53.290001,53.299999,49.527248,6807800
2013-02-26,53.509998,53.599998,52.509998,53.049999,49.294952,6325100
2013-02-27,52.959999,54.009998,52.93,53.869999,50.056896,5133800
2013-02-28,53.82,53.959999,53.389999,53.450001,49.666626,5879800
2013-03-01,53.34,53.790001,52.880001,53.52,49.731674,6972100
2013-03-04,53.310001,53.5,53.130001,53.32,49.545826,4783000
2013-03-05,53.43,53.84,53.18,53.5,49.713085,4911700
2013-03-06,53.560001,53.939999,53.349998,53.610001,49.815308,5562600
2013-03-07,53.759998,54.18,53.689999,53.799999,49.991859,4455700
2013-03-08,53.970001,54.25,53.52,53.810001,50.001152,4584400
2013-03-11,53.830002,54.639999,53.75,54.209999,50.372837,4008700
2013-03-12,54.169998,55.0,54.080002,54.830002,50.948952,5466300
2013-03-13,54.68,54.880001,54.349998,54.48,50.820217,4343000
2013-03-14,54.580002,54.810001,54.060001,54.73,51.053425,5066800
2013-03-15,54.630001,54.900002,54.419998,54.73,51.053425,7888300
2013-03-18,54.299999,55.470001,54.279999,55.0,51.305279,5974200
2013-03-19,55.0,55.400002,54.919998,55.169998,51.463871,5486600
2013-03-20,55.470001,55.529999,54.810001,54.880001,51.193344,4528800
2013-03-21,54.689999,55.349998,54.630001,55.060001,51.361256,4953700
2013-03-22,55.139999,55.299999,54.23,54.459999,50.801556,5415900
2013-03-25,54.650002,55.119999,54.439999,54.860001,51.174694,5142500
2013-03-26,55.139999,55.779999,55.09,55.650002,51.911621,6059700
2013-03-27,55.549999,57.029999,55.439999,56.619999,52.81646,8525800
2013-03-28,56.66,57.310001,56.490002,57.209999,53.366817,5685400
2013-04-01,57.16,59.360001,57.009998,58.970001,55.008595,9006100
2013-04-02,61.630001,63.950001,61.5,61.740002,57.592518,22664600
2013-04-03,62.41,62.75,61.619999,61.669998,57.527218,10140400
2013-04-04,61.75,62.5,61.490002,62.029999,57.863029,7648400
2013-04-05,61.919998,62.560001,61.650002,62.099998,57.928341,6841300
2013-04-08,62.07,62.369999,61.290001,61.889999,57.732437,4545600
2013-04-09,62.09,62.57,61.950001,62.18,58.00296,4405900
2013-04-10,62.32,62.599998,62.09,62.41,58.217506,4400600
2013-04-11,62.389999,63.0,62.330002,62.98,58.749218,4738900
2013-04-12,62.830002,63.279999,62.619999,63.029999,58.79586,4162000
2013-04-15,62.720001,63.0,61.580002,61.59,57.452591,4625600
2013-04-16,62.18,63.0,61.77,62.810001,58.590637,4976400
2013-04-17,62.389999,63.150002,61.959999,62.029999,57.863029,8429000
2013-04-18,59.389999,60.75,58.029999,59.689999,55.680225,14015000
2013-04-19,59.939999,60.75,59.470001,60.040001,56.006718,6524600
2013-04-22,59.990002,60.099998,58.639999,59.220001,55.241802,6020900
2013-04-23,59.470001,59.66,58.119999,58.540001,54.607491,6277700
2013-04-24,58.900002,59.25,58.720001,58.790001,54.840687,5883000
2013-04-25,59.130001,59.41,58.610001,59.34,55.353737,5669100
2013-04-26,59.259998,60.150002,59.130001,59.48,55.484341,5798100
2013-04-29,59.950001,60.490002,59.810001,60.009998,55.978737,4861600
2013-04-30,60.139999,60.380001,59.209999,59.93,55.904099,5701800
2013-05-01,59.959999,60.439999,59.299999,59.720001,55.708218,4897800
2013-05-02,59.709999,60.380001,59.389999,59.48,55.484341,6072500
2013-05-03,59.790001,60.029999,58.869999,58.919998,54.961948,5149500
2013-05-06,59.380001,60.73,59.32,60.200001,56.155975,5609600
2013-05-07,60.080002,61.130001,59.93,60.5,56.435818,4830700
2013-05-08,60.32,62.77,60.310001,62.509998,58.310787,10032800
2013-05-09,62.25,62.560001,61.459999,62.009998,57.844379,6416700
2013-05-10,62.040001,62.990002,61.810001,62.91,58.683918,5015700
2013-05-13,62.669998,62.799999,62.259998,62.389999,58.198845,3490400
2013-05-14,62.299999,62.48,61.549999,61.73,57.583191,5390300
2013-05-15,61.52,62.279999,61.169998,61.610001,57.471241,6808200
2013-05-16,61.299999,62.349998,61.200001,62.139999,57.965645,6904800
2013-05-17,62.25,63.310001,62.220001,62.84,58.618629,5840800
2013-05-20,62.73,62.919998,62.419998,62.560001,58.357441,2688200
2013-05-21,62.57,63.029999,62.450001,62.869999,58.64661,3248400
2013-05-22,62.0,63.27,61.529999,62.279999,58.096245,6317500
2013-05-23,62.09,62.82,61.82,62.360001,58.170864,4479100
2013-05-24,62.02,62.52,61.490002,62.060001,57.891014,4697900
2013-05-28,62.490002,63.580002,62.400002,63.34,59.08503,5341000
2013-05-29,63.32,63.549999,62.810001,63.349998,59.09436,5009100
2013-05-30,63.43,64.900002,63.02,64.660004,60.316364,5671300
2013-05-31,64.449997,64.849998,62.599998,62.630001,58.422741,5888300
2013-06-03,62.889999,63.0,62.09,62.799999,58.58131,3756200
2013-06-04,62.599998,62.990002,61.919998,62.360001,58.170864,5151100
2013-06-05,63.009998,63.110001,61.650002,61.75,57.601837,5380100
2013-06-06,61.75,61.919998,60.950001,61.919998,57.760426,4711400
2013-06-07,62.27,62.93,61.700001,62.57,58.366756,5214700
2013-06-10,62.580002,63.900002,62.57,63.68,59.402195,5256600
2013-06-11,63.150002,64.559998,62.700001,63.93,59.635395,6063400
2013-06-12,64.239998,64.510002,63.619999,63.830002,59.54211,3891100
2013-06-13,63.700001,64.209999,63.150002,64.150002,60.104279,4379500
2013-06-14,64.129997,64.449997,63.59,63.799999,59.776344,3122600
2013-06-17,64.290001,65.239998,64.099998,64.370003,60.310413,4975000
2013-06-18,64.900002,65.709999,64.459999,65.68,61.537777,5183300
2013-06-19,65.699997,66.160004,65.230003,65.260002,61.144276,6370200
2013-06-20,64.800003,64.82,63.650002,63.799999,59.776344,5748300
