Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,87.330002,87.459999,86.519997,87.120003,74.40815,10602900
2012-09-05,87.519997,87.650002,87.059998,87.330002,74.587517,10113100
2012-09-06,87.889999,89.25,87.849998,88.989998,76.005302,15713500
2012-09-07,89.269997,90.0,89.269997,89.919998,76.799614,15623900
2012-09-10,89.82,90.0,89.400002,89.480003,76.423813,10750700
2012-09-11,89.75,89.949997,89.550003,89.620003,76.543388,9349400
2012-09-12,89.629997,89.900002,89.410004,89.550003,76.483604,9982900
2012-09-13,89.709999,91.559998,89.43,91.230003,77.918472,19870900
2012-09-14,91.5,92.400002,91.25,92.300003,78.832352,21388800
2012-09-17,91.919998,92.5,91.550003,91.910004,78.499252,11893700
2012-09-18,91.43,92.220001,91.400002,91.650002,78.277199,10950100
2012-09-19,91.480003,91.75,90.57,90.57,77.354774,16302100
2012-09-20,90.139999,91.690002,90.089996,91.519997,78.166145,12238400
2012-09-21,92.029999,92.230003,91.639999,91.919998,78.507782,19599100
2012-09-24,91.309998,92.209999,91.300003,91.879997,78.47361,11023700
2012-09-25,92.110001,92.57,91.540001,91.739998,78.354057,14035800
2012-09-26,91.720001,92.040001,91.099998,91.230003,77.918472,11616500
2012-09-27,91.830002,92.25,91.190002,91.800003,78.405289,10632700
2012-09-28,91.480003,91.650002,90.93,91.449997,78.106369,12507600
2012-10-01,91.790001,92.5,91.599998,91.800003,78.405289,10343500
2012-10-02,92.120003,92.18,91.279999,91.720001,78.336967,9507800
2012-10-03,91.650002,91.809998,91.169998,91.699997,78.319908,10328100
2012-10-04,92.080002,92.540001,91.910004,92.220001,78.764023,11507100
2012-10-05,92.589996,93.0,92.230003,92.550003,79.045868,9890100
2012-10-08,92.150002,92.870003,92.040001,92.68,79.156898,8765200
2012-10-09,92.830002,93.360001,92.110001,92.129997,78.687149,13799200
2012-10-10,91.800003,92.019997,90.669998,91.029999,77.74765,15332500
2012-10-11,91.57,91.879997,91.169998,91.169998,77.867226,9789900
2012-10-12,91.510002,91.720001,90.510002,91.029999,77.74765,9943700
2012-10-15,91.349998,91.690002,90.540001,91.510002,78.157616,10651100
2012-10-16,91.889999,92.480003,91.800003,92.379997,78.900658,9069300
2012-10-17,92.620003,93.540001,92.610001,93.389999,79.763313,10759100
2012-10-18,92.970001,93.57,92.970001,93.480003,79.840172,11815500
2012-10-19,93.57,93.669998,91.75,92.150002,78.704224,15928100
2012-10-22,91.669998,92.260002,91.080002,92.190002,78.73838,11445400
2012-10-23,91.129997,91.379997,90.010002,90.18,77.02166,14085500
2012-10-24,90.459999,90.620003,89.769997,89.879997,76.765442,11332500
2012-10-25,90.629997,90.800003,89.68,90.43,77.235214,10387200
2012-10-26,90.559998,91.07,90.010002,90.620003,77.397469,11583000
2012-10-31,91.029999,91.410004,90.110001,91.169998,77.867226,14848500
2012-11-01,90.25,91.669998,90.199997,91.599998,78.234467,15771900
2012-11-02,91.760002,91.940002,90.059998,90.269997,77.098549,12742400
2012-11-05,90.040001,90.809998,89.699997,90.629997,77.406029,11222600
2012-11-06,90.860001,92.050003,90.730003,91.610001,78.243019,12026500
2012-11-07,90.239998,90.239998,87.699997,88.18,75.785034,19423500
2012-11-08,88.269997,88.43,87.029999,87.07,74.831062,13743000
2012-11-09,86.610001,87.949997,86.610001,87.209999,74.951378,13407000
2012-11-12,87.269997,87.690002,86.949997,87.32,75.045921,9004300
2012-11-13,86.75,87.989998,86.440002,86.470001,74.315407,12260300
2012-11-14,86.75,87.110001,85.879997,86.07,73.971619,14524100
2012-11-15,86.089996,86.559998,85.370003,86.139999,74.031784,13783600
2012-11-16,86.139999,86.709999,85.059998,86.449997,74.298218,17405200
2012-11-19,87.400002,88.199997,87.089996,87.669998,75.346718,12911000
2012-11-20,87.510002,87.879997,86.769997,87.5,75.200607,10288100
2012-11-21,87.809998,88.019997,87.480003,88.010002,75.638947,13905300
2012-11-23,88.25,89.089996,88.010002,89.089996,76.567123,11931000
2012-11-26,88.32,88.629997,88.029999,88.620003,76.163185,16423600
2012-11-27,88.400002,88.540001,87.239998,87.349998,75.071701,11841600
2012-11-28,86.529999,88.190002,86.279999,88.099998,75.716263,15959900
2012-11-29,88.370003,88.690002,87.629997,88.120003,75.733475,11579100
2012-11-30,88.07,88.400002,87.82,88.139999,75.750648,15522100
2012-12-03,88.550003,88.580002,87.470001,87.610001,75.295166,10937300
2012-12-04,87.379997,87.970001,87.190002,87.190002,74.934196,11980000
2012-12-05,87.269997,88.269997,87.099998,87.730003,75.398277,12717800
2012-12-06,87.760002,88.059998,87.239998,88.0,75.630348,12077000
2012-12-07,88.169998,88.639999,87.769997,88.599998,76.145996,10603100
2012-12-10,88.580002,88.949997,88.239998,88.410004,75.982712,11549400
2012-12-11,88.610001,89.489998,88.400002,88.989998,76.481186,12634600
2012-12-12,89.089996,90.370003,88.910004,89.449997,76.876518,14729500
2012-12-13,89.160004,89.449997,88.269997,88.580002,76.128807,12290300
2012-12-14,88.0,88.449997,87.919998,88.080002,75.699089,13363600
2012-12-17,88.360001,88.940002,88.099998,88.870003,76.378052,15672500
